id,filename,emotions,gender,confidence,comment,annotator_culture,annotator_language,emoji,annotator_individuality,intensity
175,na/vid_52.mp4,disgust,female,4,,north american,english,nauseated,2,5
176,na/vid_4.mp4,annoyed,male,4,,north american,english,unamused,2,1
177,na/vid_22.mp4,annoyed,male,4,,north american,english,rollingeyes,2,3
178,na/vid_20.mp4,none,female,2,,north american,english,neutral,2,0
179,na/vid_42.mp4,disgust,male,4,,north american,english,weary,2,3
180,na/vid_48.mp4,disgust,male,4,,north american,english,vomiting,2,6
181,na/vid_50.mp4,disgust,male,4,,north american,english,nauseated,2,4
182,na/vid_72.mp4,furious,female,4,,north american,english,triumph,2,5
183,na/vid_24.mp4,none,male,4,,north american,english,neutral,2,3
184,na/vid_78.mp4,hatred,male,4,,north american,english,furious,2,4
186,na/vid_8.mp4,annoyed,male,4,,north american,english,expressionless,2,1
187,na/vid_84.mp4,annoyed,female,4,,north american,english,angry,2,3
188,na/vid_32.mp4,contempt,male,4,,north american,english,unamused,2,1
189,na/vid_12.mp4,annoyed,female,4,,north american,english,unamused,2,2
190,na/vid_58.mp4,disgust,female,4,,north american,english,nauseated,2,3
191,na/vid_68.mp4,furious,female,4,,north american,english,triumph,2,4
192,na/vid_10_2.mp4,annoyed,female,4,,north american,english,expressionless,2,2
193,na/vid_30.mp4,anger,male,4,,north american,english,angry,2,2
194,na/vid_80.mp4,furious,male,4,,north american,english,triumph,2,4
195,na/vid_14.mp4,annoyed,female,4,,north american,english,unamused,2,4
196,na/vid_66.mp4,furious,male,4,,north american,english,furious,2,6
197,na/vid_6.mp4,annoyed,male,4,,north american,english,unamused,2,2
198,na/vid_86.mp4,anger,female,4,,north american,english,hatred,2,4
199,na/vid_40.mp4,disgust,male,4,,north american,english,unamused,2,2
200,na/vid_74.mp4,anger,male,4,,north american,english,furious,2,4
201,na/vid_76.mp4,furious,female,4,,north american,english,furious,2,5
202,na/vid_16.mp4,annoyed,female,4,,north american,english,expressionless,2,3
203,na/vid_44.mp4,disgust,male,4,,north american,english,nauseated,2,0
204,na/vid_34.mp4,none,male,4,,north american,english,neutral,2,0
205,na/vid_46.mp4,disgust,male,4,,north american,english,weary,2,0
206,na/vid_26.mp4,none,male,4,,north american,english,neutral,2,0
207,na/vid_60.mp4,disgust,female,4,,north american,english,vomiting,2,4
208,na/vid_18.mp4,annoyed,female,4,,north american,english,unamused,2,2
209,na/vid_54.mp4,disgust,male,4,,north american,english,nauseated,2,3
210,na/vid_10_1.mp4,annoyed,female,4,,north american,english,rollingeyes,2,1
211,na/vid_2.mp4,annoyed,male,4,,north american,english,unamused,2,1
212,na/vid_36.mp4,none,female,4,,north american,english,neutral,2,0
213,na/vid_64.mp4,furious,female,4,,north american,english,hatred,2,1
214,na/vid_62.mp4,none,female,4,,north american,english,expressionless,2,0
215,na/vid_56.mp4,anger,female,4,,north american,english,angry,2,0
216,na/vid_82.mp4,furious,female,4,,north american,english,hatred,2,1
217,na/vid_38.mp4,anger,female,4,,north american,english,angry,2,1
218,na/vid_70.mp4,anger,female,4,,north american,english,furious,2,1
379,na/vid_75.mp4,annoyed,female,4,,north american,english,unamused,3,2
380,na/vid_31.mp4,none,male,4,,north american,english,neutral,3,0
381,na/vid_63.mp4,anger,female,4,,north american,english,angry,3,1
382,na/vid_35.mp4,contempt,male,4,,north american,english,expressionless,3,1
383,na/vid_59.mp4,annoyed,female,4,,north american,english,unamused,3,1
384,na/vid_33.mp4,none,male,4,,north american,english,skeptical,3,1
385,na/vid_73.mp4,furious,male,4,,north american,english,furious,3,4
386,na/vid_3.mp4,annoyed,female,4,,north american,english,expressionless,3,1
387,na/vid_23.mp4,none,male,4,,north american,english,neutral,3,1
388,na/vid_9.mp4,annoyed,female,4,,north american,english,expressionless,3,1
389,na/vid_69.mp4,hatred,male,4,,north american,english,angry,3,2
390,na/vid_81.mp4,furious,male,4,,north american,english,furious,3,4
391,na/vid_77.mp4,furious,female,4,,north american,english,furious,3,3
392,na/vid_47.mp4,disgust,male,4,,north american,english,weary,3,2
393,na/vid_51.mp4,disgust,female,4,,north american,english,nauseated,3,4
394,na/vid_37.mp4,none,male,4,,north american,english,neutral,3,0
395,na/vid_39.mp4,annoyed,female,4,,north american,english,unamused,3,1
396,na/vid_13.mp4,annoyed,female,4,,north american,english,expressionless,3,1
397,na/vid_83.mp4,annoyed,female,4,,north american,english,unamused,3,1
398,na/vid_45.mp4,disgust,male,4,,north american,english,nauseated,3,1
399,na/vid_61.mp4,annoyed,female,4,,north american,english,expressionless,3,1
400,na/vid_21.mp4,none,male,4,,north american,english,neutral,3,0
401,na/vid_27.mp4,none,male,4,,north american,english,smirk,3,1
402,na/vid_5.mp4,none,male,4,,north american,english,neutral,3,1
403,na/vid_29.mp4,contempt,male,4,,north american,english,unamused,3,1
405,na/vid_10_3.mp4,annoyed,female,4,,north american,english,unamused,3,1
406,na/vid_41.mp4,disgust,male,4,,north american,english,unamused,3,1
407,na/vid_1.mp4,none,female,4,,north american,english,neutral,3,1
408,na/vid_79.mp4,furious,male,4,,north american,english,furious,3,3
409,na/vid_53.mp4,disgust,male,4,,north american,english,vomiting,3,4
410,na/vid_57.mp4,disgust,female,4,,north american,english,vomiting,3,5
411,na/vid_55.mp4,annoyed,female,4,,north american,english,angry,3,3
412,na/vid_65.mp4,annoyed,female,4,,north american,english,unamused,3,2
413,na/vid_85.mp4,anger,female,4,,north american,english,hatred,3,3
414,na/vid_87.mp4,anger,male,4,,north american,english,angry,3,3
415,na/vid_7.mp4,annoyed,male,4,,north american,english,expressionless,3,1
416,na/vid_49.mp4,disgust,male,4,,north american,english,weary,3,2
417,na/vid_17.mp4,annoyed,female,4,,north american,english,unamused,3,1
418,na/vid_15.mp4,annoyed,female,4,,north american,english,expressionless,3,1
419,na/vid_19.mp4,none,male,4,,north american,english,smirk,3,1
420,na/vid_25.mp4,none,male,4,,north american,english,neutral,3,0
421,na/vid_11.mp4,annoyed,female,4,,north american,english,expressionless,3,1
422,na/vid_67.mp4,furious,male,4,,north american,english,furious,3,6
423,na/vid_43.mp4,disgust,male,4,,north american,english,nauseated,3,0
424,na/vid_52.mp4,disgust,female,4,,north american,english,weary,4,2
425,na/vid_54.mp4,disgust,male,4,,north american,english,nauseated,4,3
426,na/vid_26.mp4,none,male,4,,north american,english,neutral,4,2
427,na/vid_84.mp4,annoyed,female,4,,north american,english,unamused,4,2
428,na/vid_18.mp4,contempt,female,4,,north american,english,unamused,4,2
429,na/vid_82.mp4,furious,female,4,,north american,english,angry,4,3
430,na/vid_20.mp4,contempt,female,4,,north american,english,expressionless,4,0
431,na/vid_70.mp4,anger,female,4,,north american,english,hatred,4,3
432,na/vid_2.mp4,annoyed,male,4,,north american,english,expressionless,4,1
433,na/vid_10_2.mp4,annoyed,female,4,,north american,english,unamused,4,0
434,na/vid_66.mp4,furious,male,4,,north american,english,furious,4,6
435,na/vid_78.mp4,anger,male,4,,north american,english,angry,4,3
436,na/vid_64.mp4,anger,female,4,,north american,english,angry,4,1
437,na/vid_4.mp4,annoyed,male,4,,north american,english,expressionless,4,1
438,na/vid_48.mp4,disgust,male,4,,north american,english,nauseated,4,4
439,na/vid_8.mp4,disgust,male,4,,north american,english,neutral,4,1
440,na/vid_56.mp4,annoyed,female,4,,north american,english,expressionless,4,1
441,na/vid_44.mp4,disgust,male,4,,north american,english,nauseated,4,2
442,na/vid_12.mp4,annoyed,female,4,,north american,english,expressionless,4,1
443,na/vid_10_1.mp4,annoyed,female,4,,north american,english,expressionless,4,1
444,na/vid_72.mp4,furious,female,4,,north american,english,hatred,4,4
445,na/vid_14.mp4,contempt,female,4,,north american,english,unamused,4,1
446,na/vid_32.mp4,contempt,male,4,,north american,english,expressionless,4,0
447,na/vid_58.mp4,disgust,female,4,,north american,english,nauseated,4,3
448,na/vid_42.mp4,disgust,male,4,,north american,english,weary,4,1
449,na/vid_46.mp4,disgust,male,4,,north american,english,nauseated,4,1
450,na/vid_34.mp4,none,male,4,,north american,english,skeptical,4,1
451,na/vid_16.mp4,none,female,4,,north american,english,neutral,4,0
452,na/vid_80.mp4,furious,male,4,,north american,english,hatred,4,4
453,na/vid_40.mp4,disgust,male,4,,north american,english,skeptical,4,1
454,na/vid_24.mp4,none,male,4,,north american,english,skeptical,4,1
455,na/vid_38.mp4,anger,female,4,,north american,english,angry,4,2
456,na/vid_36.mp4,none,female,4,,north american,english,skeptical,4,1
457,na/vid_68.mp4,anger,female,4,,north american,english,angry,4,2
458,na/vid_6.mp4,annoyed,male,4,,north american,english,unamused,4,3
460,na/vid_86.mp4,furious,female,4,,north american,english,furious,4,3
461,na/vid_22.mp4,annoyed,male,4,,north american,english,expressionless,4,2
462,na/vid_50.mp4,disgust,male,4,,north american,english,nauseated,4,2
463,na/vid_30.mp4,anger,male,4,,north american,english,angry,4,1
464,na/vid_74.mp4,furious,male,4,,north american,english,furious,4,6
465,na/vid_76.mp4,furious,female,4,,north american,english,hatred,4,4
466,na/vid_60.mp4,disgust,female,4,,north american,english,vomiting,4,1
467,na/vid_62.mp4,annoyed,female,4,,north american,english,expressionless,4,2
468,na/vid_10_3.mp4,annoyed,female,4,,north american,english,weary,2,4
469,na/vid_81.mp4,anger,male,5,,north american,english,hatred,2,6
470,na/vid_9.mp4,annoyed,female,5,,north american,english,rollingeyes,2,4
471,na/vid_7.mp4,contempt,male,4,,north american,english,skeptical,2,3
472,na/vid_79.mp4,anger,male,4,,north american,english,hatred,2,4
473,na/vid_17.mp4,contempt,female,4,,north american,english,rollingeyes,2,3
474,na/vid_11.mp4,contempt,female,5,,north american,english,rollingeyes,2,3
475,na/vid_5.mp4,contempt,female,5,,north american,english,smirk,2,2
476,na/vid_53.mp4,disgust,male,5,,north american,english,nauseated,2,5
477,na/vid_57.mp4,disgust,female,4,,north american,english,nauseated,2,3
478,na/vid_19.mp4,contempt,male,4,,north american,english,"smirk,unamused",2,3
479,na/vid_67.mp4,"anger,furious",male,5,,north american,english,furious,2,6
480,na/vid_15.mp4,contempt,female,4,,north american,english,"smirk,unamused,rollingeyes",2,3
481,na/vid_21.mp4,"contempt,annoyed",male,5,,north american,english,rollingeyes,2,2
482,na/vid_37.mp4,annoyed,male,4,,north american,english,rollingeyes,2,1
483,na/vid_43.mp4,"contempt,annoyed",male,4,,north american,english,"unamused,angry",2,2
484,na/vid_49.mp4,disgust,male,4,,north american,english,nauseated,2,3
485,na/vid_51.mp4,disgust,female,4,,north american,english,"vomiting,nauseated,triumph",2,5
486,na/vid_85.mp4,"anger,annoyed",female,5,,north american,english,"angry,hatred",2,4
487,na/vid_55.mp4,"contempt,disgust,annoyed",female,4,,north american,english,"unamused,rollingeyes,angry,triumph",2,4
488,na/vid_77.mp4,anger,female,4,,north american,english,"angry,hatred,furious,weary",2,4
489,na/vid_35.mp4,contempt,male,4,,north american,english,"skeptical,smirk,unamused,rollingeyes",2,3
490,na/vid_69.mp4,none,male,4,Cringe ,north american,english,"rollingeyes,angry,weary",2,3
491,na/vid_41.mp4,contempt,female,4,,north american,english,"rollingeyes,weary",2,2
492,na/vid_73.mp4,"anger,hatred,furious",male,5,,north american,english,"hatred,furious",2,6
493,na/vid_25.mp4,contempt,male,5,,north american,english,"smirk,rollingeyes",2,2
494,na/vid_83.mp4,"anger,contempt",female,4,,north american,english,"rollingeyes,angry,hatred",2,4
495,na/vid_33.mp4,contempt,male,4,,north american,english,"skeptical,smirk,rollingeyes",2,3
496,na/vid_63.mp4,"anger,contempt",female,4,,north american,english,"rollingeyes,angry",2,1
497,na/vid_45.mp4,disgust,male,4,,north american,english,"nauseated,weary",2,3
498,na/vid_1.mp4,contempt,female,4,,north american,english,"smirk,unamused,rollingeyes",2,2
499,na/vid_31.mp4,contempt,male,5,,north american,english,"skeptical,smirk,neutral,expressionless",2,2
500,na/vid_39.mp4,contempt,female,5,,north american,english,"unamused,rollingeyes,angry",2,4
501,na/vid_3.mp4,annoyed,female,4,,north american,english,expressionless,2,3
502,na/vid_65.mp4,anger,female,5,,north american,english,"hatred,furious",2,5
503,na/vid_47.mp4,disgust,male,5,,north american,english,"nauseated,weary",2,4
505,na/vid_61.mp4,contempt,female,4,,north american,english,"unamused,rollingeyes,angry",2,3
506,na/vid_75.mp4,annoyed,female,5,,north american,english,"rollingeyes,angry,hatred",2,4
507,na/vid_13.mp4,annoyed,female,5,,north american,english,"expressionless,unamused,rollingeyes",2,4
508,na/vid_23.mp4,contempt,male,5,,north american,english,"expressionless,unamused,rollingeyes",2,3
509,na/vid_29.mp4,annoyed,male,5,,north american,english,"neutral,expressionless",2,2
510,na/vid_59.mp4,disgust,female,4,,north american,english,"angry,nauseated,weary",2,2
511,na/vid_87.mp4,"anger,hatred",male,5,,north american,english,"rollingeyes,angry,hatred,furious",2,3
512,na/vid_27.mp4,contempt,male,5,,north american,english,"skeptical,smirk,unamused,rollingeyes",2,2
561,na/vid_60.mp4,disgust,female,5,,north american,english,nauseated,2,4
562,na/vid_58.mp4,disgust,female,4,,north american,english,nauseated,2,2
563,na/vid_44.mp4,none,male,3,,north american,english,none,2,0
564,na/vid_40.mp4,none,male,3,Cringing,north american,english,none,2,1
565,na/vid_20.mp4,contempt,female,3,,north american,english,rollingeyes,2,2
566,na/vid_24.mp4,none,male,3,laughing/enjoyment,north american,english,none,2,1
567,na/vid_26.mp4,contempt,male,3,,north american,english,neutral,2,3
568,na/vid_46.mp4,disgust,male,3,,north american,english,nauseated,2,2
569,na/vid_56.mp4,disgust,female,3,,north american,english,none,2,2
570,na/vid_62.mp4,annoyed,female,4,,north american,english,expressionless,2,1
571,na/vid_38.mp4,annoyed,female,5,,north american,english,"rollingeyes,angry",2,4
572,na/vid_18.mp4,none,female,2,,north american,english,none,2,2
573,na/vid_86.mp4,anger,female,4,,north american,english,furious,2,6
575,na/vid_6.mp4,none,male,3,,north american,english,none,2,1
576,na/vid_2.mp4,contempt,male,2,,north american,english,neutral,2,1
577,na/vid_64.mp4,annoyed,female,4,,north american,english,angry,2,3
578,na/vid_14.mp4,contempt,female,3,,north american,english,rollingeyes,2,2
579,na/vid_76.mp4,furious,female,4,,north american,english,"furious,triumph",2,6
580,na/vid_34.mp4,none,male,3,,north american,english,none,2,0
581,na/vid_52.mp4,disgust,female,4,,north american,english,weary,2,2
582,na/vid_72.mp4,furious,female,4,,north american,english,"furious,triumph",2,6
583,na/vid_54.mp4,disgust,male,3,,north american,english,"vomiting,nauseated",2,4
584,na/vid_50.mp4,disgust,male,3,,north american,english,nauseated,2,2
585,na/vid_78.mp4,anger,male,3,,north american,english,"hatred,furious",2,4
586,na/vid_80.mp4,anger,male,4,,north american,english,"hatred,furious",2,0
587,na/vid_74.mp4,none,male,4,Sad/hurt,north american,english,none,2,5
588,na/vid_70.mp4,anger,female,4,,north american,english,angry,2,2
589,na/vid_10_1.mp4,none,female,2,,north american,english,none,2,0
590,na/vid_36.mp4,none,female,2,,north american,english,none,2,0
591,na/vid_4.mp4,contempt,male,4,,north american,english,skeptical,2,2
592,na/vid_68.mp4,annoyed,female,3,,north american,english,"expressionless,angry",2,2
593,na/vid_12.mp4,none,female,3,,north american,english,none,2,1
594,na/vid_42.mp4,disgust,male,4,,north american,english,nauseated,2,2
595,na/vid_48.mp4,disgust,male,3,,north american,english,nauseated,2,2
596,na/vid_32.mp4,contempt,male,3,,north american,english,"skeptical,expressionless",2,1
597,na/vid_22.mp4,none,male,3,,north american,english,rollingeyes,2,1
598,na/vid_82.mp4,anger,female,4,,north american,english,hatred,2,3
599,na/vid_16.mp4,none,female,2,,north american,english,none,2,0
600,na/vid_30.mp4,none,male,3,,north american,english,none,2,1
601,na/vid_8.mp4,contempt,male,3,,north american,english,"skeptical,expressionless",2,1
603,na/vid_84.mp4,"contempt,annoyed",female,4,,north american,english,"rollingeyes,angry,hatred",2,3
604,na/vid_10_2.mp4,none,female,2,,north american,english,none,2,1
652,na/vid_75.mp4,annoyed,female,4,,north american,english,unamused,3,4
