filename,culture,frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,pose_Rx,pose_Ry,pose_Rz,gaze_angle_x,gaze_angle_y
vid_1,persian,1,0,0.0,0.98,1,0.94,0.24,0.43,0.43,0.6,0.67,0.93,0.98,0.66,0.0,0.68,0.15,0.28,0.0,0.69,0.0,0.69,0.252,-0.451,-0.106,0.408,0.466
vid_1,persian,2,0,0.033,0.98,1,0.17,0.0,0.0,0.62,0.71,0.39,0.72,1.58,0.62,0.0,0.64,0.0,0.36,0.0,1.39,0.0,1.21,0.281,-0.479,-0.113,0.478,0.49
vid_1,persian,3,0,0.067,0.98,1,0.1,0.0,0.0,0.73,0.72,0.91,0.85,1.55,0.58,0.0,0.84,0.0,0.78,0.0,1.65,0.0,1.04,0.286,-0.511,-0.112,0.494,0.471
vid_1,persian,4,0,0.1,0.98,1,0.0,0.0,0.0,1.1,0.83,1.1,0.84,1.3,0.47,0.0,0.94,0.0,1.28,0.0,1.46,0.0,0.83,0.286,-0.537,-0.112,0.54,0.466
vid_1,persian,5,0,0.133,0.98,1,0.0,0.0,0.0,1.04,0.97,1.01,0.68,1.37,0.75,0.0,0.79,0.0,1.25,0.0,1.34,0.0,0.82,0.286,-0.562,-0.115,0.581,0.467
vid_1,persian,6,0,0.167,0.98,1,0.0,0.0,0.0,1.05,0.83,0.46,0.4,1.07,0.82,0.0,0.89,0.0,1.57,0.0,1.47,0.0,0.66,0.286,-0.588,-0.12,0.606,0.452
vid_1,persian,7,0,0.2,0.98,1,0.0,0.0,0.0,1.38,0.82,0.52,0.52,1.03,0.84,0.0,0.75,0.0,1.86,0.0,1.59,0.0,0.56,0.284,-0.578,-0.125,0.599,0.449
vid_1,persian,8,0,0.233,0.98,1,0.0,0.0,0.0,1.45,0.8,0.97,0.26,0.66,0.83,0.0,1.25,0.0,0.82,0.0,1.46,0.0,0.59,0.291,-0.593,-0.121,0.602,0.454
vid_1,persian,9,0,0.267,0.98,1,0.0,0.0,0.0,1.5,0.42,0.18,0.03,0.29,0.78,0.0,1.54,0.0,0.29,0.0,1.26,0.0,0.29,0.298,-0.603,-0.121,0.504,0.344
vid_1,persian,10,0,0.3,0.98,1,0.0,0.0,0.0,1.22,0.27,0.5,0.0,0.05,0.71,0.03,1.4,0.0,0.71,0.0,0.86,0.0,0.33,0.299,-0.609,-0.124,0.507,0.346
vid_1,persian,11,0,0.333,0.98,1,0.02,0.0,0.0,1.42,0.0,0.35,0.0,0.06,0.6,0.0,1.62,0.0,0.59,0.0,0.13,0.0,0.18,0.254,-0.638,-0.145,0.519,0.329
vid_1,persian,12,0,0.367,0.98,1,0.0,0.0,0.0,1.45,0.0,0.43,0.0,0.02,0.41,0.0,1.29,0.0,0.26,0.0,0.0,0.0,0.16,0.25,-0.644,-0.153,0.519,0.317
vid_1,persian,13,0,0.4,0.98,1,0.0,0.0,0.0,1.52,0.0,0.25,0.0,0.0,0.33,0.0,1.34,0.0,0.65,0.0,0.0,0.0,0.16,0.247,-0.641,-0.158,0.516,0.312
vid_1,persian,14,0,0.433,0.98,1,0.0,0.0,0.27,1.28,0.0,0.48,0.0,0.01,0.38,0.0,1.22,0.0,0.43,0.0,0.0,0.0,0.11,0.253,-0.644,-0.158,0.516,0.32
vid_1,persian,15,0,0.467,0.98,1,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.26,0.0,1.19,0.0,0.12,0.0,0.0,0.0,0.16,0.25,-0.648,-0.159,0.517,0.318
vid_1,persian,16,0,0.5,0.98,1,0.0,0.0,0.01,1.12,0.0,0.0,0.0,0.0,0.34,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.22,0.248,-0.65,-0.159,0.518,0.317
vid_1,persian,17,0,0.533,0.98,1,0.0,0.0,0.13,1.12,0.0,0.0,0.0,0.0,0.29,0.0,0.93,0.0,0.12,0.0,0.0,0.0,0.25,0.249,-0.656,-0.155,0.521,0.317
vid_1,persian,17,1,0.533,0.88,1,1.17,0.0,0.0,0.0,0.0,1.72,0.07,0.45,0.21,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.306,-0.279,-0.041,0.278,0.281
vid_1,persian,18,0,0.567,0.98,1,0.0,0.0,0.0,1.44,0.0,0.14,0.0,0.0,0.3,0.0,0.96,0.0,0.01,0.0,0.0,0.0,0.16,0.253,-0.652,-0.151,0.517,0.316
vid_1,persian,18,1,0.567,0.88,1,1.17,0.0,0.0,0.0,0.0,1.88,0.35,0.02,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.295,-0.284,-0.052,0.282,0.275
vid_1,persian,19,0,0.6,0.98,1,0.0,0.0,0.0,1.38,0.0,0.48,0.0,0.0,0.26,0.0,1.09,0.0,0.21,0.0,0.0,0.16,0.24,0.265,-0.652,-0.144,0.517,0.324
vid_1,persian,19,1,0.6,0.88,1,1.22,0.0,0.0,0.0,0.0,1.48,0.15,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.285,-0.287,-0.051,0.284,0.267
vid_1,persian,20,0,0.633,0.98,1,0.0,0.0,0.13,1.46,0.0,0.28,0.0,0.0,0.24,0.0,1.16,0.0,0.02,0.0,0.0,0.17,0.19,0.264,-0.652,-0.143,0.518,0.323
vid_1,persian,20,1,0.633,0.88,1,1.57,0.0,0.15,0.0,0.0,1.48,0.24,0.17,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.29,-0.294,-0.051,0.289,0.27
vid_1,persian,21,0,0.667,0.98,1,0.0,0.0,0.0,1.73,0.0,0.2,0.0,0.1,0.38,0.0,1.2,0.0,0.14,0.0,0.14,0.06,0.14,0.298,-0.607,-0.132,0.493,0.337
vid_1,persian,21,1,0.667,0.88,1,1.8,0.0,0.79,0.0,0.0,0.66,0.0,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,-0.277,-0.051,0.277,0.268
vid_1,persian,22,0,0.7,0.98,1,0.0,0.0,0.0,2.27,0.15,0.09,0.0,0.67,0.59,0.43,1.41,0.0,0.23,0.0,0.31,0.0,0.13,0.311,-0.564,-0.124,0.471,0.344
vid_1,persian,22,1,0.7,0.88,1,2.47,0.0,0.37,0.0,0.0,0.35,0.0,0.6,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.262,-0.263,-0.04,0.267,0.254
vid_1,persian,23,0,0.733,0.98,1,0.0,0.0,0.0,2.15,0.16,0.36,0.0,0.59,0.46,0.55,1.63,0.0,0.88,0.0,0.31,0.0,0.0,0.307,-0.53,-0.12,0.45,0.34
vid_1,persian,23,1,0.733,0.88,1,2.43,0.0,0.39,0.0,0.0,0.0,0.0,0.22,0.0,1.1,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.244,-0.272,-0.04,0.271,0.239
